model,regime,n_obs_mean,rmse_mean,rmse_std,mae_mean,mae_std,hit_ccy_mean,hit_ccy_std,hit_pair_mean,hit_pair_std,extreme_rmse_mean,extreme_rmse_std,extreme_hit_mean,extreme_hit_std
LSTM,composite_macro_shock_top10,103.0,0.006472310142354655,0.00011007493444590817,0.00451859122224012,8.130024066790626e-05,0.5262135922330097,0.007562020353105429,0.5080906148867314,0.0007938062702696018,0.015327767402212927,0.00013762270251570265,0.6245954692556634,0.02421784716358542
MLP,composite_macro_shock_top10,103.0,0.0064357733964845185,5.115258332125008e-05,0.0045546590486511265,3.39566578136986e-05,0.5333333333333333,0.003300336254752623,0.5135628125919388,0.0148966124423985,0.01483478900412268,0.0001935140955501263,0.6407766990291263,0.020973270868633875
NoGraph,composite_macro_shock_top10,103.0,0.005992114461895327,4.2143162440404965e-05,0.004193262156904687,3.005052598041675e-05,0.5967637540453076,0.0032037200442109016,0.555634010002942,0.0029689851865943944,0.013797644857025948,6.796140066357074e-05,0.7119741100323624,0.02548222612948805
NoMacro,composite_macro_shock_top10,103.0,0.0065638325275170885,8.46994026063407e-05,0.004546644043055399,2.9789707956993456e-05,0.5087378640776699,0.008389308347453543,0.49379229185054435,0.0072586794998493725,0.015640583988967897,0.000221745820885546,0.546925566343042,0.02548222612948805
StaticGraph,composite_macro_shock_top10,103.0,0.0059175450866743,3.384059743049882e-05,0.004164689610801108,1.1565378120545939e-05,0.5964401294498382,0.006054461790896342,0.5766990291262136,0.008594791238133706,0.012937421429380938,0.00010255608765959196,0.773462783171521,0.018306971681205108
PureGraphFX,composite_macro_shock_top10,103.0,0.006071319844037505,0.000175644273482922,0.00423357866520908,0.00010579918215472302,0.6009708737864078,0.013476157160943027,0.5815828184760224,0.0032399882078108164,0.01324404148188211,0.0005133570277971513,0.7961165048543689,0.02746045752180766
Ours,composite_macro_shock_top10,103.0,0.005876504679351959,5.2182370604800615e-05,0.004052036515462044,2.5521729129114207e-05,0.6145631067961165,0.00835177210392485,0.5912915563401001,0.004560829037970235,0.013478745002373825,0.00035796203673131024,0.7540453074433656,0.02421784716358537
LSTM,normal,668.0,0.004752253024781674,5.164458427905991e-05,0.0035240261569033197,3.4727681814754166e-05,0.5968063872255489,0.006292571476829858,0.5593993830520777,0.0013052172388571218,0.010534037678667481,9.712705337840333e-05,0.7155688622754491,0.03607339235913734
MLP,normal,668.0,0.004826337846792667,7.314197597181536e-05,0.003611703216774854,5.3744234644402764e-05,0.5860279441117765,0.00822157845025736,0.555026311014335,0.0021055458564130463,0.010010499906534706,9.135713824150281e-05,0.7415169660678642,0.019027620723490613
NoGraph,normal,668.0,0.004634561251586304,6.7588820288125725e-06,0.0034269384676547305,6.999974553045084e-06,0.6085828343313374,0.0013738423051832627,0.5786608600979858,0.0005591355085512817,0.010269580940099849,1.3020099344434052e-05,0.7415169660678642,0.006731904971672694
NoMacro,normal,668.0,0.004889760163184271,4.383202841516757e-05,0.003616259465111021,3.254931760604539e-05,0.566816367265469,0.017533228849472993,0.537416076937035,0.007110778081360836,0.01112606255546648,0.00011292762518672465,0.6482035928143713,0.04083287933229296
StaticGraph,normal,668.0,0.004479705310594828,3.092520136509636e-05,0.0032987103603049346,2.3496223820091953e-05,0.6308383233532934,0.0016030317768671882,0.5982671021593178,0.0029316119386692983,0.009764026107143763,9.156703419151534e-05,0.782934131736527,0.0044070663005628015
PureGraphFX,normal,668.0,0.004562068788934564,7.041833075218175e-05,0.0033584536904435777,3.6556490255015485e-05,0.6269960079840319,0.006721910660812213,0.5984576301941571,0.004436126793536065,0.009832998511287515,5.5800797761263314e-05,0.7729540918163673,0.023105462879820803
Ours,normal,668.0,0.004258911330991745,1.9439341265453205e-05,0.003142997236956441,1.8368752431425774e-05,0.6506487025948103,0.0009255108278937913,0.6164579931046997,0.0012526986459149311,0.009164467946196164,7.840380682595619e-05,0.8203592814371258,0.0021170861712171856

