model,universe,lookback,seed,rmse,mae,hit_ratio,non_tiny_hit_ratio,extreme_hit_ratio,pairwise_hit,ic,long_short_sharpe,long_short_sortino,max_drawdown,cumulative_return,scenario,n_dates,n_currency_obs
foundation_relational,core6,10,123,0.0063517508401469795,0.004368180933515049,0.5411392405063291,0.5527426160337553,0.5631578947368421,0.5118143459915612,0.03970751820885277,1.6918116525585656,2.553287209385298,-0.03618600397476257,0.07074619354216338,vix_spike,158,948
foundation_relational,core6,10,123,0.0057300969962110985,0.004120872930326607,0.49705215419501136,0.5151927437641723,0.5238095238095238,0.5053061224489795,0.02470038578445264,1.142586761238466,1.8965090210654918,-0.04889450602786383,0.22094948796780045,macro_shock_union,735,4410
foundation_relational,core6,10,123,0.005990061301193071,0.0043561849645556055,0.49702000851426137,0.5125585355470413,0.5180851063829788,0.5025968497232866,0.017347835223683425,0.8586904388638852,1.3827281672114675,-0.049491504520119634,0.1818871453904194,extreme_union,783,4698
mlp,core6,10,123,0.00544538708835092,0.003928897685455949,0.48215919487648673,0.5007624275693809,0.4969512195121951,0.49112534309240624,-0.006401852142352345,-0.3075522289697678,-0.46165815815657685,-0.20576562250721508,-0.0812284848886975,all_test,1093,6558
mlp,core6,10,123,0.009962319108175112,0.008467414598840792,0.4915254237288136,0.5065913370998116,0.5023474178403756,0.48662900188323915,-0.03696529459241323,-1.3071355522323422,-2.0254625992652024,-0.1482283236728108,-0.08525444861879805,high_fx_vol,177,1062
mlp,core6,10,123,0.011715195547531792,0.009365974840305586,0.5205761316872428,0.5390946502057613,0.5204081632653061,0.49218106995884775,-0.021516754850088186,-0.1764359636135372,-0.3307177456053613,-0.07370708038797602,-0.006673663254332496,large_abs_move,81,486
mlp,core6,10,123,0.009970794637867066,0.007441622000325576,0.4683333333333333,0.49666666666666665,0.4666666666666667,0.486,-0.031999999999999994,-0.8735789328215642,-1.538300992541066,-0.11674665372811432,-0.042592128078467795,cross_section_dispersion,100,600
mlp,core6,10,123,0.006173533817783911,0.0043429578697252455,0.48233995584988965,0.5165562913907285,0.5261707988980716,0.48233995584988965,-0.026600298144740932,-1.0464325384866386,-1.5391239369595269,-0.10535220758083597,-0.08883453210683001,risk_off,302,1812
mlp,core6,10,123,0.0060571651577710555,0.004395702758324828,0.5,0.5274261603375527,0.5578947368421052,0.4892405063291139,-0.007105937373913715,0.28925095968787834,0.48970806324718463,-0.08422755279661942,0.02372025236400077,dollar_shock,316,1896
mlp,core6,10,123,0.005920609250892969,0.004236407421781759,0.49535747446610956,0.5051067780872794,0.4756380510440835,0.48653667595171773,-0.017443234623990576,-0.4406826539287784,-0.6657587438221765,-0.12564296462551283,-0.04119804869742438,commodity_shock,359,2154
mlp,core6,10,123,0.006291897319035195,0.004436935179188384,0.4933862433862434,0.49603174603174605,0.5181518151815182,0.4835978835978836,-0.03555358001076597,-0.7937660685160076,-1.1092268985491491,-0.11730361575177994,-0.056672799591751755,yield_shock,252,1512
mlp,core6,10,123,0.006376614129979768,0.004403761915998118,0.48417721518987344,0.5147679324894515,0.5157894736842106,0.50084388185654,0.01228080985077383,-0.33976367446046607,-0.4467124439543772,-0.06263245156742414,-0.015938608281885536,vix_spike,158,948
mlp,core6,10,123,0.005738182840486203,0.004126052201682434,0.49229024943310656,0.507482993197279,0.5034013605442177,0.49170068027210884,-0.006657390265331874,-0.26585685622905875,-0.4019383400120966,-0.14425189981488984,-0.0503406796285617,macro_shock_union,735,4410
mlp,core6,10,123,0.005997955048123548,0.004362365131005301,0.4904214559386973,0.5057471264367817,0.502127659574468,0.4899957428693061,-0.012160604436258434,-0.47409545252715984,-0.7163082660031094,-0.18809701035866055,-0.09772804939143498,extreme_union,783,4698
lstm,core6,10,123,0.005438601000148753,0.003928956833117324,0.48581884720951507,0.5089966453186947,0.5182926829268293,0.4936870997255261,-0.005382470640091054,0.6474730100911945,1.0892010426954792,-0.05946733031760232,0.18405329693064232,all_test,1093,6558
lstm,core6,10,123,0.00994088154473652,0.008442214871868784,0.5235404896421846,0.5404896421845574,0.539906103286385,0.48851224105461394,-0.04309927360774818,1.5166023436632499,2.7628997683643908,-0.055058919613657054,0.10940336819112417,high_fx_vol,177,1062
lstm,core6,10,123,0.011697657822763597,0.00934446964433266,0.5411522633744856,0.5637860082304527,0.5204081632653061,0.5135802469135803,0.021516754850088204,2.941465695444694,5.381905528864427,-0.026229446521028876,0.125776603948907,large_abs_move,81,486
lstm,core6,10,123,0.009938268122253732,0.007409415338125503,0.515,0.5433333333333333,0.525,0.5313333333333333,0.07371428571428573,3.502206112793279,6.13471640842054,-0.02377197636087658,0.1887952209526702,cross_section_dispersion,100,600
lstm,core6,10,123,0.006160487671206761,0.004327845901073696,0.5154525386313465,0.5441501103752759,0.5867768595041323,0.4867549668874172,-0.02328990000477216,1.2511323155029292,2.5941421166699565,-0.07696720277363056,0.11928636615857613,risk_off,302,1812
lstm,core6,10,123,0.006060202018453002,0.004400922063072855,0.5068565400843882,0.5295358649789029,0.5473684210526316,0.48818565400843883,-0.0164179544027989,0.44132960386327263,0.8655212122681675,-0.05824215162465407,0.03953646079708051,dollar_shock,316,1896
lstm,core6,10,123,0.005916533732067803,0.004238933064741637,0.4712163416898793,0.479108635097493,0.4709976798143852,0.483008356545961,-0.02597209665263456,0.07747626355050428,0.12480068181406664,-0.11544091747782659,0.008170987577159394,commodity_shock,359,2154
lstm,core6,10,123,0.006287497269033297,0.004432136192691803,0.5066137566137566,0.5264550264550265,0.5445544554455446,0.48677248677248675,-0.039465660036873115,0.5206673220993937,0.8618486196856102,-0.07429901962427721,0.04382001433509686,yield_shock,252,1512
