date,D_F,VIX,Delta_US2Y_abs,Oil_return_abs,ShockScore,is_large_update,is_stress_day,rolling_update_ratio_20d,rolling_stress_ratio_20d
2024-12-10,0.5638498067855835,14.18000030517578,0.020000000000000462,0.003212526021897588,0.6778070694845083,0,0,0.0,0.15
2024-12-11,0.639488160610199,13.579999923706056,0.0,0.024482856092888028,0.7431819978774346,0,0,0.0,0.1
2024-12-12,0.8647930026054382,13.920000076293944,0.02999999999999936,0.0038486866287925636,0.7449481255208332,1,0,0.05,0.1
2024-12-13,0.9526931047439575,13.8100004196167,0.07000000000000028,0.017975210387811913,1.1692640617612757,1,1,0.1,0.15
2024-12-16,0.749570906162262,14.6899995803833,0.0,0.008169085303321388,0.3881159197472423,0,0,0.1,0.15
2024-12-17,0.9340189695358276,15.869999885559082,0.0,0.00894951991231352,0.45915409190236045,1,0,0.15,0.15
2024-12-18,0.7350696325302124,27.6200008392334,0.09999999999999964,0.007109371433892342,2.001931555152441,0,1,0.15,0.2
2024-12-19,0.37179329991340637,24.09000015258789,0.02999999999999936,0.009538091283001648,1.2523275686206352,0,0,0.15,0.2
2024-12-20,0.2194817066192627,18.36000061035156,0.020000000000000462,0.006457718771803123,1.1059723802131576,0,0,0.15,0.15
2024-12-23,0.43880656361579895,16.780000686645508,0.0,0.003172334679828026,0.6673407822035827,0,0,0.15,0.15
2024-12-24,0.567211925983429,14.270000457763672,0.009999999999999787,0.012344072817911389,0.6639831753555403,0,0,0.15,0.15
2024-12-25,0.6464038491249084,14.270000457763672,0.0,0.0,0.0005354397416669511,0,0,0.15,0.15
2024-12-26,0.8306891918182373,14.729999542236328,0.009999999999999787,0.006870850439029574,0.30473417042324713,0,0,0.15,0.1
2024-12-27,0.3005636930465698,15.949999809265137,0.009999999999999787,0.01397820105183989,0.620112863356396,0,0,0.15,0.1
2024-12-30,0.49718624353408813,17.399999618530273,0.0699999999999994,0.005508869073121758,0.8066723626899538,0,1,0.15,0.15
2024-12-31,0.6316803097724915,17.350000381469727,0.009999999999999787,0.010230673798029777,0.7083220458227691,0,0,0.15,0.15
2025-01-01,0.7488969564437866,17.350000381469727,0.0,0.0,0.0,0,0,0.15,0.15
2025-01-02,0.49217700958251953,17.93000030517578,0.0,0.01946897596799868,0.7604287252743833,0,0,0.15,0.15
2025-01-03,0.7227078676223755,16.1299991607666,0.03000000000000025,0.01128575241491081,0.9361611882084492,0,0,0.15,0.15
2025-01-06,0.5781639814376831,16.040000915527344,0.0,0.005423027593439933,0.4957526941063095,0,0,0.15,0.15
2025-01-07,0.6578283309936523,17.81999969482422,0.019999999999999574,0.00933641113600725,1.0080576701760176,0,0,0.15,0.15
2025-01-08,0.811398983001709,17.700000762939453,0.019999999999999574,0.01260435887354916,0.45276918435028907,0,0,0.15,0.15
2025-01-09,0.7145806550979614,17.700000762939453,0.010000000000000675,0.008149983753407142,0.4296063343425475,0,0,0.1,0.15
2025-01-10,0.6083241701126099,19.540000915527344,0.13000000000000078,0.035221948576785955,1.4204545667334005,0,1,0.05,0.15
2025-01-13,0.3615053594112396,19.190000534057617,0.0,0.028961416755598712,0.5542918633942581,0,0,0.05,0.15
2025-01-14,0.5685355067253113,18.709999084472656,0.03000000000000025,0.01688883153575027,0.7110828936152229,0,0,0.0,0.15
2025-01-15,0.7770200371742249,16.1200008392334,0.10000000000000053,0.03224858479460391,1.6818252469583903,0,1,0.0,0.15
2025-01-16,0.5605490803718567,16.600000381469727,0.03999999999999915,0.01713752375435096,0.7282323215129298,0,0,0.0,0.15
2025-01-17,0.4827491343021393,15.970000267028809,0.03999999999999915,0.010219852162403065,0.6011055069128137,0,0,0.0,0.15
2025-01-20,0.6390876770019531,15.970000267028809,0.0,0.0,0.02201958669237382,0,0,0.0,0.15
2025-01-21,0.5253551602363586,15.0600004196167,0.020000000000000462,0.025884229863912367,0.6439579995725176,0,0,0.0,0.15
2025-01-22,0.6840637922286987,15.100000381469728,0.0,0.005947244685811981,0.5005543006179078,0,0,0.0,0.15
2025-01-23,0.5208432674407959,15.020000457763672,0.0,0.010929066086830197,0.4780649706466879,0,0,0.0,0.15
2025-01-24,0.6139634847640991,14.850000381469728,0.020000000000000462,0.0005359179363271238,0.3494731951310606,0,0,0.0,0.15
2025-01-27,0.619348406791687,17.899999618530273,0.09999999999999964,0.020159046665649605,1.475519175765062,0,1,0.0,0.15
2025-01-28,0.889270007610321,16.40999984741211,0.020000000000000462,0.008166623519532124,0.5911033532119373,1,0,0.05,0.15
2025-01-29,0.7666584253311157,16.559999465942383,0.019999999999999574,0.0157116955833283,0.3654836063411552,0,0,0.05,0.15
2025-01-30,0.8476080894470215,15.84000015258789,0.03000000000000025,0.001513596515076543,0.6802219786529542,0,0,0.05,0.15
2025-01-31,0.5046094655990601,16.43000030517578,0.040000000000000036,0.0027537477775538832,0.5095634150819565,0,0,0.05,0.15
2025-02-01,0.5207016468048096,16.43000030517578,0.0,0.0,0.0,0,0,0.05,0.15
2025-02-03,0.6743680834770203,18.6200008392334,0.040000000000000036,0.008648621033832349,0.8632870602962025,0,0,0.05,0.15
