model,display_name,lookback,seed,regime,n_obs,rmse,mae,hit_ccy,hit_pair,extreme_rmse,extreme_hit
NoMacro,NoMacroFX,20,42,US2Y_shock_top10,322,0.006069500388050595,0.004323117092399794,0.5347826086956522,0.5243929983060418,0.01413971214045076,0.6521739130434783
NoMacro,NoMacroFX,20,42,VIX_top10,82,0.007915043868734034,0.0057071919603519814,0.5353658536585366,0.5086474501108648,0.01759837858584858,0.6829268292682927
NoMacro,NoMacroFX,20,42,all_test,1104,0.005857772037256743,0.00412751522058056,0.545018115942029,0.5297595520421607,0.013816491718369961,0.6476449275362319
NoMacro,NoMacroFX,20,42,composite_macro_shock_top10,103,0.006682726806267829,0.004564048446849201,0.4970873786407767,0.48984995586937335,0.01535760440441012,0.5339805825242718
NoMacro,NoMacroFX,20,42,normal,668,0.0049326795368458305,0.0036523874408304576,0.5425149700598803,0.5291235710397387,0.011156643728119751,0.6032934131736527
NoMacro,NoMacroFX,20,123,FX_move_top10,89,0.012188867658878418,0.008777194759934217,0.651685393258427,0.5767109295199183,0.028201933288877882,0.6853932584269663
NoMacro,NoMacroFX,20,123,Oil_shock_top10,108,0.007787960468896032,0.004833093129017201,0.5481481481481482,0.5259259259259259,0.02062830478903568,0.6944444444444444
NoMacro,NoMacroFX,20,123,US2Y_shock_top10,322,0.006051894476122903,0.004291008608589487,0.5925465838509317,0.535064935064935,0.014506464005384625,0.6770186335403726
NoMacro,NoMacroFX,20,123,VIX_top10,82,0.007586147623551922,0.0055515562768294596,0.5170731707317073,0.5135254988913526,0.017582577552027353,0.7317073170731707
NoMacro,NoMacroFX,20,123,all_test,1104,0.0058710463581001515,0.0040993250398876305,0.5782608695652174,0.5366930171277997,0.014281090264551202,0.667572463768116
NoMacro,NoMacroFX,20,123,composite_macro_shock_top10,103,0.006516998716927668,0.004504716021429241,0.512621359223301,0.4875551632833186,0.015899115353617196,0.5825242718446602
NoMacro,NoMacroFX,20,123,normal,668,0.004907034383926271,0.003622899002156479,0.5747005988023952,0.5366358192705498,0.011246520142994352,0.6392215568862275
NoMacro,NoMacroFX,20,456,FX_move_top10,89,0.011848356204606883,0.008504214762094788,0.6573033707865169,0.5781409601634321,0.027260833891370406,0.6853932584269663
NoMacro,NoMacroFX,20,456,Oil_shock_top10,108,0.0076330282821162445,0.00473258059012475,0.5509259259259259,0.5552188552188552,0.020111087309107697,0.6666666666666666
NoMacro,NoMacroFX,20,456,US2Y_shock_top10,322,0.005997220563716919,0.004284566682515518,0.5956521739130435,0.5438735177865612,0.014228158164791508,0.6645962732919255
NoMacro,NoMacroFX,20,456,VIX_top10,82,0.007494271140341434,0.005502557514225883,0.5109756097560976,0.5082039911308204,0.01743440867962688,0.5365853658536586
NoMacro,NoMacroFX,20,456,all_test,1104,0.005774327493238995,0.004045559999951717,0.5897644927536232,0.547068511198946,0.01395991149093252,0.6820652173913043
NoMacro,NoMacroFX,20,456,composite_macro_shock_top10,103,0.00649177205935577,0.004571167660887758,0.516504854368932,0.5039717563989409,0.01566503220887637,0.5242718446601942
NoMacro,NoMacroFX,20,456,normal,668,0.004829566568780711,0.0035734919523461263,0.5832335329341317,0.5464888405008166,0.01097502379528534,0.7020958083832335
StaticGraph,StaticGraphFX,20,42,FX_move_top10,89,0.010239250791355799,0.007239913207124036,0.7123595505617978,0.6500510725229827,0.022160443334550625,0.8651685393258427
StaticGraph,StaticGraphFX,20,42,Oil_shock_top10,108,0.006806553332235697,0.004404844100084844,0.6,0.5962962962962963,0.01635404691223127,0.8240740740740741
StaticGraph,StaticGraphFX,20,42,US2Y_shock_top10,322,0.005399109353681413,0.0038147934623713347,0.6546583850931676,0.6035573122529644,0.012222458275335123,0.8012422360248447
StaticGraph,StaticGraphFX,20,42,VIX_top10,82,0.007005189349624742,0.005061755072259119,0.6195121951219512,0.6011086474501108,0.015188176722658132,0.7560975609756098
StaticGraph,StaticGraphFX,20,42,all_test,1104,0.005212178028211634,0.003657455227179142,0.6401268115942029,0.6038208168642951,0.011892098870808322,0.8079710144927537
StaticGraph,StaticGraphFX,20,42,composite_macro_shock_top10,103,0.005894908178065449,0.004154572041978858,0.6029126213592233,0.5784642541924095,0.012835316233346017,0.7864077669902912
StaticGraph,StaticGraphFX,20,42,normal,668,0.004436061922314817,0.0032654852015360906,0.6326347305389222,0.6007348938486663,0.009655337732104238,0.7889221556886228
StaticGraph,StaticGraphFX,20,123,FX_move_top10,89,0.010468497061592084,0.007349591473887537,0.7056179775280899,0.6435137895812053,0.02291234628343355,0.8202247191011236
StaticGraph,StaticGraphFX,20,123,Oil_shock_top10,108,0.006942619319446061,0.004436590279960826,0.5972222222222222,0.5868686868686869,0.016950676547488167,0.7870370370370371
StaticGraph,StaticGraphFX,20,123,US2Y_shock_top10,322,0.0055011919405704365,0.0038962289590657216,0.6413043478260869,0.5912478825522304,0.012554004016325884,0.7919254658385093
StaticGraph,StaticGraphFX,20,123,VIX_top10,82,0.007158990581823465,0.005192906550018961,0.5975609756097561,0.5844789356984479,0.015653092577506866,0.7560975609756098
StaticGraph,StaticGraphFX,20,123,all_test,1104,0.005306998176994515,0.0037189308640406117,0.6343297101449276,0.5944664031620553,0.012226048871988424,0.7853260869565217
StaticGraph,StaticGraphFX,20,123,composite_macro_shock_top10,103,0.005892347012828373,0.004158619017087103,0.5883495145631068,0.5654015887025595,0.012899269075848244,0.7475728155339806
StaticGraph,StaticGraphFX,20,123,normal,668,0.004503975088431893,0.003314904108822996,0.6311377245508982,0.594148067501361,0.009879336764746645,0.781437125748503
StaticGraph,StaticGraphFX,20,456,FX_move_top10,89,0.010186073521989006,0.00727079033156136,0.7191011235955056,0.6539325842696629,0.021767161543986318,0.8539325842696629
StaticGraph,StaticGraphFX,20,456,Oil_shock_top10,108,0.006814429858860573,0.004467469265058231,0.5851851851851851,0.5781144781144781,0.016179049174882946,0.7777777777777778
StaticGraph,StaticGraphFX,20,456,US2Y_shock_top10,322,0.005511234537108153,0.003902206195368833,0.6388198757763975,0.5983625070581592,0.012509090248529513,0.7950310559006211
StaticGraph,StaticGraphFX,20,456,VIX_top10,82,0.006960968472007971,0.005029067530460629,0.6036585365853658,0.6044345898004435,0.015017612443870444,0.7926829268292683
StaticGraph,StaticGraphFX,20,456,all_test,1104,0.0052528961887742,0.0037095195182018457,0.6319746376811595,0.6013833992094861,0.011932226932003902,0.8016304347826086
StaticGraph,StaticGraphFX,20,456,composite_macro_shock_top10,103,0.0059653800691290785,0.004180877773337361,0.5980582524271845,0.5862312444836717,0.013077678978948555,0.7864077669902912
StaticGraph,StaticGraphFX,20,456,normal,668,0.004499078921037773,0.003315741770555717,0.6287425149700598,0.599918345127926,0.009757403824580409,0.7784431137724551
PureGraphFX,PureGraphFX,20,42,FX_move_top10,89,0.010508117812402242,0.007384773397706432,0.7101123595505618,0.6600612870275792,0.02366034080474538,0.8314606741573034
PureGraphFX,PureGraphFX,20,42,Oil_shock_top10,108,0.006917014530145598,0.004349682004343928,0.6138888888888889,0.5909090909090909,0.01725054847248774,0.8425925925925926
PureGraphFX,PureGraphFX,20,42,US2Y_shock_top10,322,0.0054516188964109265,0.0038769091645177774,0.6493788819875776,0.607622811970638,0.01250955770908619,0.8012422360248447
PureGraphFX,PureGraphFX,20,42,VIX_top10,82,0.006862422486090337,0.0049964620247187775,0.6097560975609756,0.6066518847006652,0.015102101154286927,0.7926829268292683
PureGraphFX,PureGraphFX,20,42,all_test,1104,0.005269813197689326,0.0037058681979483294,0.6396739130434783,0.6061264822134388,0.01227104288759083,0.8088768115942029
PureGraphFX,PureGraphFX,20,42,composite_macro_shock_top10,103,0.005829672585819995,0.004108805484369865,0.6009708737864078,0.5825242718446602,0.013070822723544094,0.7766990291262136
PureGraphFX,PureGraphFX,20,42,normal,668,0.004485328983353984,0.003316436440903118,0.6332335329341318,0.6026673924877518,0.009882687135464826,0.7949101796407185
PureGraphFX,PureGraphFX,20,123,FX_move_top10,89,0.010229607109165704,0.007303823194437877,0.6966292134831461,0.6604698672114403,0.021213056349704027,0.8876404494382022
PureGraphFX,PureGraphFX,20,123,Oil_shock_top10,108,0.007006868159951685,0.004562215069848174,0.587037037037037,0.5819865319865319,0.016049727543880222,0.7777777777777778
PureGraphFX,PureGraphFX,20,123,US2Y_shock_top10,322,0.005682820467046495,0.004050818541173522,0.6214285714285714,0.5980801806888764,0.012604794659509939,0.7484472049689441
PureGraphFX,PureGraphFX,20,123,VIX_top10,82,0.007442507448861504,0.005445276681627281,0.5475609756097561,0.5618625277161863,0.01518799808821207,0.6951219512195121
PureGraphFX,PureGraphFX,20,123,all_test,1104,0.005430955025384507,0.0038274859191298684,0.6197463768115942,0.5956851119894598,0.011995805952395024,0.7635869565217391
PureGraphFX,PureGraphFX,20,123,composite_macro_shock_top10,103,0.006241956304404734,0.004367477075801025,0.5844660194174758,0.5772285966460724,0.012720077685008343,0.8349514563106796
